case,run_id,turn,character,distance
case3,run_20260116_150617,1,poirot,0.936
case3,run_20260116_150617,2,holmes,1.034
case3,run_20260116_150617,2,marple,0.486
case3,run_20260116_150617,2,poirot,1.026
case3,run_20260116_150617,3,holmes,1.072
case3,run_20260116_150617,3,marple,1.032
case3,run_20260116_150617,3,poirot,1.033
case3,run_20260116_150617,4,holmes,1.028
case3,run_20260116_150617,4,marple,1.028
case3,run_20260116_150617,4,poirot,1.014
case3,run_20260115_193111,1,holmes,0.964
case3,run_20260115_193111,1,marple,0.913
case3,run_20260115_193111,1,poirot,0.723
case3,run_20260115_193111,2,holmes,1.062
case3,run_20260115_193111,2,marple,0.85
case3,run_20260115_193111,2,poirot,1.038
case3,run_20260115_193111,3,holmes,1.017
case3,run_20260115_193111,3,marple,0.988
case3,run_20260115_193111,3,poirot,0.975
case3,run_20260115_193111,4,holmes,0.695
case3,run_20260115_193111,4,marple,0.989
case3,run_20260115_193111,4,poirot,0.971
case3,run_20260115_193111,5,holmes,1.036
case3,run_20260115_193111,5,marple,1.051
case3,run_20260115_193111,5,poirot,1.036
case3,run_20260115_193232,1,holmes,0.212
case3,run_20260115_193232,1,marple,0.518
case3,run_20260115_193232,1,poirot,1.016
case3,run_20260115_193232,2,holmes,0.579
case3,run_20260115_193232,2,marple,0.772
case3,run_20260115_193232,2,poirot,1.005
case3,run_20260115_193232,3,holmes,0.997
case3,run_20260115_193232,3,marple,0.95
case3,run_20260115_193232,3,poirot,0.941
case3,run_20260115_193232,4,holmes,1.024
case3,run_20260115_193232,4,marple,0.928
case3,run_20260115_193232,4,poirot,0.968
case3,run_20260115_195403,1,holmes,1.005
case3,run_20260115_195403,1,marple,0.951
case3,run_20260115_195403,1,poirot,0.847
case3,run_20260115_195403,2,holmes,1.064
case3,run_20260115_195403,2,marple,0.771
case3,run_20260115_195403,2,poirot,0.228
case3,run_20260115_195403,3,holmes,1.043
case3,run_20260115_195403,3,marple,0.602
case3,run_20260115_195403,3,poirot,1.018
case3,run_20260115_195239,1,holmes,0.287
case3,run_20260115_195239,1,marple,0.818
case3,run_20260115_195239,1,poirot,0.907
case3,run_20260115_195239,2,holmes,1.03
case3,run_20260115_195239,2,marple,0.943
case3,run_20260115_195239,2,poirot,0.979
case3,run_20260115_195239,3,holmes,0.543
case3,run_20260115_195239,3,marple,1.002
case3,run_20260115_195239,3,poirot,1.015
case3,run_20260115_195239,4,holmes,1.057
case3,run_20260115_195239,4,marple,1.056
case3,run_20260115_195239,4,poirot,1.028
case3,run_20260115_195239,5,holmes,1.078
case3,run_20260115_195239,5,marple,1.036
case3,run_20260115_195239,5,poirot,1.015
