case,run_id,turn,character,depth,reference_mean_depth,reference_std_depth,z_score
case2,run_20260115_190823,1,poirot,8.125,3.62060101010101,1.3428538016074505,3.354348019499249
case2,run_20260115_190823,2,poirot,6.625,3.62060101010101,1.3428538016074505,2.23732396356372
case2,run_20260115_190823,2,marple,7.5,3.848859640359641,1.2201469950054273,2.9923774550000988
case2,run_20260115_190823,2,holmes,6.875,4.551333333333333,1.8421691320590274,1.2613753136062271
case2,run_20260115_190823,3,marple,7.833333333333333,3.848859640359641,1.2201469950054273,3.2655685825427687
case2,run_20260115_190823,3,poirot,7.25,3.62060101010101,1.3428538016074505,2.702750653536857
case2,run_20260115_190823,3,holmes,6.857142857142857,4.551333333333333,1.8421691320590274,1.251681772146663
case2,run_20260115_190823,4,poirot,7.625,3.62060101010101,1.3428538016074505,2.9820066675207393
case2,run_20260115_190823,4,marple,7.333333333333333,3.848859640359641,1.2201469950054273,2.8557818912287636
case2,run_20260115_190823,4,holmes,6.7272727272727275,4.551333333333333,1.8421691320590274,1.1811832888043812
case2,run_20260115_190823,5,marple,7.2727272727272725,3.848859640359641,1.2201469950054273,2.8061107771300966
case2,run_20260115_190823,5,poirot,7.0,3.62060101010101,1.3428538016074505,2.516579977547602
case2,run_20260115_190823,5,holmes,7.375,4.551333333333333,1.8421691320590274,1.5327944744740138
case2,run_20260115_191951,1,marple,5.333333333333333,3.848859640359641,1.2201469950054273,1.2166351259727433
case2,run_20260115_191951,1,holmes,6.0,4.551333333333333,1.8421691320590274,0.7863917820876005
case2,run_20260115_191951,1,poirot,6.0,3.62060101010101,1.3428538016074505,1.7718972735905822
case2,run_20260115_191951,2,marple,5.857142857142857,3.848859640359641,1.2201469950054273,1.6459354692540817
case2,run_20260115_191951,2,poirot,5.833333333333333,3.62060101010101,1.3428538016074505,1.6477834895977452
case2,run_20260115_191951,2,holmes,6.8,4.551333333333333,1.8421691320590274,1.220662439476059
case2,run_20260115_191951,3,holmes,6.5,4.551333333333333,1.8421691320590274,1.0578109429553872
case2,run_20260115_191951,3,poirot,6.0625,3.62060101010101,1.3428538016074505,1.8184399425878959
case2,run_20260115_191951,3,marple,8.714285714285714,3.848859640359641,1.2201469950054273,3.987573705334111
case2,run_20260115_191951,4,marple,8.125,3.848859640359641,1.2201469950054273,3.5046108191426053
case2,run_20260115_191951,4,poirot,6.0,3.62060101010101,1.3428538016074505,1.7718972735905822
case2,run_20260115_191951,4,holmes,7.545454545454546,4.551333333333333,1.8421691320590274,1.6253237338607593
case2,run_20260115_191951,5,marple,7.2727272727272725,3.848859640359641,1.2201469950054273,2.8061107771300966
case2,run_20260115_191951,5,holmes,7.363636363636363,4.551333333333333,1.8421691320590274,1.5266258571815639
case2,run_20260115_191951,5,poirot,6.5,3.62060101010101,1.3428538016074505,2.144238625569092
case2,run_20260115_191756,1,poirot,5.666666666666667,3.62060101010101,1.3428538016074505,1.523669705604909
case2,run_20260115_191756,1,marple,6.2,3.848859640359641,1.2201469950054273,1.9269320575836857
case2,run_20260115_191756,1,holmes,7.0,4.551333333333333,1.8421691320590274,1.3292301038231737
case2,run_20260115_191756,2,holmes,6.666666666666667,4.551333333333333,1.8421691320590274,1.148283996577983
case2,run_20260115_191756,2,poirot,6.888888888888889,3.62060101010101,1.3428538016074505,2.4338374548857113
case2,run_20260115_191756,2,marple,6.0,3.848859640359641,1.2201469950054273,1.7630173810580836
case2,run_20260115_191756,3,marple,8.142857142857142,3.848859640359641,1.2201469950054273,3.5192460581181053
case2,run_20260115_191756,3,holmes,6.636363636363637,4.551333333333333,1.8421691320590274,1.1318343504647836
case2,run_20260115_191756,3,poirot,7.714285714285714,3.62060101010101,1.3428538016074505,3.04849619465976
case2,run_20260115_191122,1,marple,5.75,3.848859640359641,1.2201469950054273,1.558124035401081
case2,run_20260115_191122,1,holmes,7.285714285714286,4.551333333333333,1.8421691320590274,1.4843267671761946
case2,run_20260115_191122,1,poirot,6.909090909090909,3.62060101010101,1.3428538016074505,2.448881549915146
case2,run_20260115_191122,2,poirot,6.818181818181818,3.62060101010101,1.3428538016074505,2.3811831222826894
case2,run_20260115_191122,2,holmes,7.5,4.551333333333333,1.8421691320590274,1.6006492646909605
case2,run_20260115_191122,2,marple,6.571428571428571,3.848859640359641,1.2201469950054273,2.2313450282740894
case2,run_20260115_192338,1,holmes,6.0,4.551333333333333,1.8421691320590274,0.7863917820876005
case2,run_20260115_192338,1,marple,6.857142857142857,3.848859640359641,1.2201469950054273,2.4655088518820922
case2,run_20260115_192338,1,poirot,7.0,3.62060101010101,1.3428538016074505,2.516579977547602
case2,run_20260115_192338,2,marple,6.666666666666667,3.848859640359641,1.2201469950054273,2.309399636143424
case2,run_20260115_192338,2,holmes,8.571428571428571,4.551333333333333,1.8421691320590274,2.1822617522647887
case2,run_20260115_192338,2,poirot,6.333333333333333,3.62060101010101,1.3428538016074505,2.0201248415762554
case2,run_20260115_192338,3,poirot,6.75,3.62060101010101,1.3428538016074505,2.330409301558347
case2,run_20260115_192338,3,holmes,7.0,4.551333333333333,1.8421691320590274,1.3292301038231737
case2,run_20260115_192338,3,marple,6.857142857142857,3.848859640359641,1.2201469950054273,2.4655088518820922
case2,run_20260115_192338,4,holmes,6.777777777777778,4.551333333333333,1.8421691320590274,1.208599365659713
case2,run_20260115_192338,4,marple,6.0,3.848859640359641,1.2201469950054273,1.7630173810580836
case2,run_20260115_192338,4,poirot,7.625,3.62060101010101,1.3428538016074505,2.9820066675207393
case2,run_20260115_192338,5,poirot,7.25,3.62060101010101,1.3428538016074505,2.702750653536857
case2,run_20260115_192338,5,marple,7.5,3.848859640359641,1.2201469950054273,2.9923774550000988
case2,run_20260115_192338,5,holmes,7.875,4.551333333333333,1.8421691320590274,1.8042136353418003
case2,run_20260115_192338,6,marple,6.333333333333333,3.848859640359641,1.2201469950054273,2.0362085086007533
case2,run_20260115_192338,6,holmes,7.454545454545454,4.551333333333333,1.8421691320590274,1.5759747955211614
case2,run_20260115_192338,6,poirot,7.75,3.62060101010101,1.3428538016074505,3.075092005515367
