case,run_id,turn,character,intra_similarity,cross_similarity,character_distance
case2,run_20260115_191251,3,holmes,0.36223399946588497,0.39017394369377567,-0.0279399442278907
case2,run_20260115_191251,3,marple,0.3892727199491035,0.38663957139733585,0.002633148551767661
case2,run_20260115_191251,3,poirot,0.2659661040562925,0.3754493910046582,-0.10948328694836568
case2,run_20260115_191251,4,holmes,0.16538797122465418,0.3874109012824049,-0.22202293005775073
case2,run_20260115_191251,4,marple,0.36432515868060156,0.38672312300242184,-0.022397964321820285
case2,run_20260115_191251,4,poirot,0.5691630557935706,0.4546712314100976,0.11449182438347305
case2,run_20260115_191348,2,holmes,0.10761746402166948,0.12917631400802204,-0.02155884998635256
case2,run_20260115_191348,2,marple,0.22405777643728303,0.2591292039501543,-0.03507142751287129
case2,run_20260115_191348,2,poirot,0.22366055487848258,0.22510676290066495,-0.0014462080221823714
case2,run_20260115_191348,3,holmes,0.25350560085906826,0.1983676756544295,0.055137925204638755
case2,run_20260115_191348,3,marple,0.24854024457408544,0.12499657956996643,0.12354366500411901
case2,run_20260115_191348,3,poirot,0.5012053118595869,0.2371854153603652,0.26401989649922175
case2,run_20260115_191348,4,holmes,0.08499240057608098,0.4042189053852695,-0.3192265048091885
case2,run_20260115_191348,4,marple,0.7185012693202402,0.5395668664492512,0.17893440287098894
case2,run_20260115_191348,4,poirot,0.4125943914986314,0.2848041061092409,0.12779028538939052
case2,run_20260115_191756,2,holmes,0.453293977484054,0.24275363256164112,0.21054034492241286
case2,run_20260115_191756,2,marple,0.01135753423374015,0.07550453619792852,-0.06414700196418836
case2,run_20260115_191756,2,poirot,0.07438023954589532,0.25635441737923403,-0.18197417783333872
case2,run_20260115_191756,3,holmes,0.6502003693055063,0.18449133514701657,0.46570903415848974
case2,run_20260115_191756,3,marple,0.09067661283170823,0.17556746499974502,-0.08489085216803678
case2,run_20260115_191756,3,poirot,0.1619342278505746,0.09282296109283693,0.06911126675773767
case2,run_20260115_191951,2,holmes,0.2590926976421847,0.11389265441512147,0.1452000432270632
case2,run_20260115_191951,2,marple,0.1815109670847983,0.08552873477062034,0.09598223231417796
case2,run_20260115_191951,2,poirot,0.09838933378300707,0.05898956705502667,0.0393997667279804
case2,run_20260115_191951,3,holmes,0.7527901389493312,0.19493710017861343,0.5578530387707178
case2,run_20260115_191951,3,marple,0.06573342949970462,0.14293234605426552,-0.0771989165545609
case2,run_20260115_191951,3,poirot,0.1385513857541239,0.21276000350422275,-0.07420861775009885
case2,run_20260115_191951,4,holmes,0.2901816783864472,0.2450328484881934,0.045148829898253806
case2,run_20260115_191951,4,marple,0.6609602391718061,0.19351722027252644,0.4674430188992797
case2,run_20260115_191951,4,poirot,0.7713799493422802,0.2590395647992722,0.5123403845430079
case2,run_20260115_191951,5,holmes,0.5168945855222634,0.47914344483730165,0.03775114068496177
case2,run_20260115_191951,5,marple,0.3087141974762448,0.36013611870012724,-0.05142192122388245
case2,run_20260115_191951,5,poirot,0.1740952925659143,0.5094683560417197,-0.3353730634758054
case2,run_20260115_192338,2,holmes,0.15872640821960018,0.14602417781738802,0.012702230402212161
case2,run_20260115_192338,2,marple,0.16043586918310743,0.14047130675718777,0.019964562425919652
case2,run_20260115_192338,2,poirot,0.591513808055515,0.12799105516001547,0.46352275289549955
case2,run_20260115_192338,3,holmes,0.3401438074947867,0.22126322236528942,0.11888058512949726
case2,run_20260115_192338,3,marple,0.31281631729237086,0.16252792832850174,0.15028838896386912
case2,run_20260115_192338,3,poirot,0.5030069791894474,0.17771052899133738,0.32529645019811
case2,run_20260115_192338,4,holmes,0.28322158659376034,0.21425277650258448,0.06896881009117586
case2,run_20260115_192338,4,marple,0.5204833859855444,0.10870432967406468,0.41177905631147976
case2,run_20260115_192338,4,poirot,0.6444214816053697,0.2284051954128772,0.41601628619249253
case2,run_20260115_192338,5,holmes,0.34896947133113987,0.4599924615163486,-0.11102299018520873
case2,run_20260115_192338,5,marple,0.13852704296375717,0.4310816275397632,-0.292554584576006
case2,run_20260115_192338,5,poirot,0.5711248181820481,0.275228088917569,0.2958967292644791
case2,run_20260115_192338,6,holmes,0.3611813719499289,0.4155157565503591,-0.05433438460043022
case2,run_20260115_192338,6,marple,0.35666115838511553,0.42143109398888223,-0.0647699356037667
case2,run_20260115_192338,6,poirot,0.5710782388171582,0.39180275387797525,0.179275484939183
case2,run_20260115_192338,7,holmes,0.9804255404868365,0.3682077173450674,0.6122178231417691
case2,run_20260115_192338,7,marple,0.09589327447562376,0.3059096995048443,-0.21001642502922055
case2,run_20260115_192338,7,poirot,0.9196631334090115,0.3918352031308432,0.5278279302781683
case2,run_20260115_192338,8,holmes,0.45058761252814206,0.28589917121609953,0.16468844131204252
case2,run_20260115_192338,8,marple,0.3090688585295889,0.31664485134779546,-0.007575992818206589
case2,run_20260115_192338,8,poirot,1.0,0.32650931570766084,0.6734906842923392
case2,run_20260115_192338,9,holmes,0.4985633307809322,0.48684686009370226,0.011716470687229918
case2,run_20260115_192338,9,marple,0.2617214414859766,0.29569153813136906,-0.03397009664539247
case2,run_20260115_192338,9,poirot,0.6032066300722279,0.5298721751206485,0.07333445495157931
case3,run_20260115_192935,2,holmes,0.32339670016580135,0.28251702570746073,0.04087967445834062
case3,run_20260115_192935,2,marple,0.321799492990475,0.3480119753919016,-0.026212482401426596
case3,run_20260115_192935,2,poirot,0.23721492797923138,0.3845973845517166,-0.14738245657248522
case3,run_20260115_192935,3,holmes,0.5211176235177135,0.3200414987000676,0.20107612481764592
case3,run_20260115_192935,3,marple,0.11754282812363544,0.2969081181172266,-0.1793652899935912
case3,run_20260115_192935,3,poirot,0.12264103638342284,0.19989275268095005,-0.07725171629752721
case3,run_20260115_192935,4,holmes,0.8377848918835258,0.28074274802896004,0.5570421438545657
case3,run_20260115_192935,4,marple,0.7498655585924561,0.36872486697041157,0.3811406916220445
case3,run_20260115_192935,4,poirot,0.6557543212252503,0.3151463690964622,0.34060795212878814
case3,run_20260115_193042,2,holmes,0.3846201822583517,0.2907149871687155,0.09390519508963618
case3,run_20260115_193042,2,marple,0.16950727328687965,0.1076432854588939,0.061863987827985745
case3,run_20260115_193042,2,poirot,0.06269205373303019,0.21131050567164872,-0.14861845193861853
case3,run_20260115_193111,2,holmes,0.21467023271632096,0.16806654570277682,0.04660368701354414
case3,run_20260115_193111,2,marple,0.042339765340305764,0.09384171180764536,-0.0515019464673396
case3,run_20260115_193111,2,poirot,0.27637490998677283,0.203137687018644,0.07323722296812885
case3,run_20260115_193111,3,holmes,0.1795689033933106,0.12907693643502172,0.05049196695828889
case3,run_20260115_193111,3,marple,0.04803978176141578,0.026135856791872383,0.0219039249695434
case3,run_20260115_193111,3,poirot,0.2265733270177352,0.12155419275200201,0.10501913426573319
case3,run_20260115_193111,4,holmes,0.20693944938468234,0.19577993967446872,0.011159509710213622
case3,run_20260115_193111,4,marple,0.03646946869172668,0.37178666143861,-0.3353171927468833
case3,run_20260115_193111,4,poirot,0.35679961625334405,0.34758846566049856,0.009211150592845496
case3,run_20260115_193111,5,holmes,0.3797571529639795,0.46772034965512654,-0.08796319669114705
case3,run_20260115_193111,5,marple,0.5721127423477382,0.5853757948609783,-0.013263052513240114
case3,run_20260115_193111,5,poirot,0.6883779992119428,0.6401639720352843,0.04821402717665846
case3,run_20260115_193232,2,holmes,0.4843227343921798,0.3329523511510326,0.1513703832411472
case3,run_20260115_193232,2,marple,0.2790273049652641,0.2967740002357401,-0.017746695270475954
case3,run_20260115_193232,2,poirot,0.42256914930925726,0.3295520107972435,0.09301713851201376
case3,run_20260115_193232,3,holmes,0.5569934782425048,0.08999720568115974,0.466996272561345
case3,run_20260115_193232,3,marple,0.45036287338544645,0.17115931111385546,0.279203562271591
case3,run_20260115_193232,3,poirot,0.3701226466875132,0.1929054249217188,0.1772172217657944
case3,run_20260115_193232,4,holmes,0.4486425103116026,0.3916672595350582,0.05697525077654442
case3,run_20260115_193232,4,marple,0.6629511819647401,0.2776272140147301,0.38532396795001
case3,run_20260115_193232,4,poirot,0.8659585775959222,0.426584568555908,0.4393740090400142
case3,run_20260115_193624,2,holmes,0.04989912553285068,0.33733257526566146,-0.28743344973281076
case3,run_20260115_193624,2,marple,0.269897819453078,0.4275506615578416,-0.1576528421047636
case3,run_20260115_193624,2,poirot,0.278871422051504,0.43542693362235046,-0.15655551157084646
case3,run_20260115_195135,2,holmes,0.03853277216636321,0.13982049180784814,-0.10128771964148493
case3,run_20260115_195135,2,marple,0.29817181580000035,0.2117070643890452,0.08646475141095514
case3,run_20260115_195135,2,poirot,0.16927549592455027,0.2841448447236835,-0.11486934879913324
case3,run_20260115_195135,3,holmes,0.475312581253735,0.1727210171813322,0.3025915640724028
case3,run_20260115_195135,3,marple,0.0813875127684313,0.13003676208522796,-0.048649249316796664
case3,run_20260115_195135,3,poirot,0.5827252177931398,0.2741634205653839,0.3085617972277559
case3,run_20260115_195135,4,holmes,0.412187319428752,0.5182518937042223,-0.10606457427547034
