case,run_id,turn,character,prob_correct,brier
case3,run_20260115_193042,2,holmes,0.0017403545789420605,0.9965223670005798
case3,run_20260115_193042,1,marple,0.0017225750489160419,0.9965578317642212
case3,run_20260115_193042,2,marple,0.0015819839900359511,0.9968385696411133
case3,run_20260115_193042,1,poirot,0.9955001473426819,2.0248673536116257e-05
case3,run_20260115_193042,2,poirot,0.9940792322158813,3.5055491025559604e-05
case3,run_20260115_193111,1,holmes,0.0014685951173305511,0.9970649480819702
case3,run_20260115_193111,2,holmes,0.001371570979245007,0.9972587823867798
case3,run_20260115_193111,3,holmes,0.0014231939567252994,0.9971556663513184
case3,run_20260115_193111,4,holmes,0.0015086400089785457,0.9969849586486816
case3,run_20260115_193111,5,holmes,0.0012773703783750534,0.9974468350410461
case3,run_20260115_193111,1,marple,0.043426427990198135,0.9150329232215881
case3,run_20260115_193111,2,marple,0.6541924476623535,0.11958286166191101
case3,run_20260115_193111,3,marple,0.025942349806427956,0.9487883448600769
case3,run_20260115_193111,4,marple,0.027206864207983017,0.9463265538215637
case3,run_20260115_193111,5,marple,0.05021746829152107,0.9020869135856628
case3,run_20260115_193111,1,poirot,0.9966691136360168,1.1094803994637914e-05
case3,run_20260115_193111,2,poirot,0.9887799024581909,0.00012589058314915746
case3,run_20260115_193111,3,poirot,0.9903447031974792,9.322475671069697e-05
case3,run_20260115_193111,4,poirot,0.9899793863296509,0.00010041269706562161
case3,run_20260115_193111,5,poirot,0.9654331207275391,0.0011948691681027412
case3,run_20260115_193232,1,holmes,0.007511494681239128,0.9850334525108337
case3,run_20260115_193232,2,holmes,0.94997638463974,0.002502362011000514
case3,run_20260115_193232,3,holmes,0.5146803259849548,0.23553518950939178
case3,run_20260115_193232,4,holmes,0.07614942640066147,0.8534999489784241
case3,run_20260115_193232,1,marple,0.993157684803009,4.68172765977215e-05
case3,run_20260115_193232,2,marple,0.00155873061157763,0.9968850016593933
case3,run_20260115_193232,3,marple,0.002900337567552924,0.9942076802253723
case3,run_20260115_193232,4,marple,0.0018174877623096108,0.9963683485984802
case3,run_20260115_193232,1,poirot,0.8946914076805115,0.011089899577200413
case3,run_20260115_193232,2,poirot,0.02726643532514572,0.9462105631828308
case3,run_20260115_193232,3,poirot,0.03398125618696213,0.9331921935081482
case3,run_20260115_193232,4,poirot,0.033981259912252426,0.9331921935081482
case3,run_20260115_193624,1,holmes,0.9845556616783142,0.0002385275874985382
case3,run_20260115_193624,2,holmes,0.0024128518998622894,0.9951801300048828
case3,run_20260115_193624,1,marple,0.11563252657651901,0.7821058034896851
case3,run_20260115_193624,2,marple,0.9943280816078186,3.217065750504844e-05
case3,run_20260115_193624,1,poirot,0.004745806101709604,0.9905309677124023
case3,run_20260115_193624,2,poirot,0.003954548388719559,0.992106556892395
case3,run_20260115_195135,1,holmes,0.05783076956868172,0.8876829147338867
case3,run_20260115_195135,2,holmes,0.7994323372840881,0.040227387100458145
case3,run_20260115_195135,3,holmes,0.5043532848358154,0.24566566944122314
case3,run_20260115_195135,4,holmes,0.002863785484805703,0.9942806959152222
case3,run_20260115_195135,1,marple,0.0016650353791192174,0.9966726899147034
case3,run_20260115_195135,2,marple,0.0018043635645881295,0.9963945746421814
case3,run_20260115_195135,3,marple,0.010177936404943466,0.9797477722167969
case3,run_20260115_195135,4,marple,0.09624143689870834,0.8167795538902283
case3,run_20260115_195135,1,poirot,0.9964291453361511,1.2751002941513434e-05
case3,run_20260115_195135,2,poirot,0.02875545062124729,0.9433160424232483
case3,run_20260115_195135,3,poirot,0.023378068581223488,0.9537903666496277
case3,run_20260115_195135,4,poirot,0.015308217145502567,0.9696179628372192
case3,run_20260115_195239,1,holmes,0.0031739347614347935,0.9936621785163879
case3,run_20260115_195239,2,holmes,0.002853222656995058,0.9943017363548279
case3,run_20260115_195239,3,holmes,0.007586589548736811,0.9848843812942505
case3,run_20260115_195239,4,holmes,0.0632285624742508,0.8775407671928406
case3,run_20260115_195239,5,holmes,0.0013747530756518245,0.997252345085144
case3,run_20260115_195239,1,marple,0.6808921098709106,0.10182984918355942
case3,run_20260115_195239,2,marple,0.9806601405143738,0.0003740301763173193
case3,run_20260115_195239,3,marple,0.9170531630516052,0.006880177650600672
case3,run_20260115_195239,4,marple,0.029171064496040344,0.9425088763237
case3,run_20260115_195239,5,marple,0.09152518212795258,0.8253264427185059
case3,run_20260115_195239,1,poirot,0.9967334270477295,1.0670499250409193e-05
case3,run_20260115_195239,2,poirot,0.03268752247095108,0.9356933832168579
case3,run_20260115_195239,3,poirot,0.0307402852922678,0.9394644498825073
case3,run_20260115_195239,4,poirot,0.9880812168121338,0.00014205739716999233
case3,run_20260115_195239,5,poirot,0.01548834890127182,0.9692632555961609
case3,run_20260115_195403,1,holmes,0.7772095203399658,0.049635596573352814
case3,run_20260115_195403,2,holmes,0.003861210076138377,0.9922925233840942
case3,run_20260115_195403,3,holmes,0.0028517914470285177,0.9943045377731323
case3,run_20260115_195403,1,marple,0.9945737719535828,2.944395055237692e-05
case3,run_20260115_195403,2,marple,0.0016130385920405388,0.9967765808105469
case3,run_20260115_195403,3,marple,0.9942758679389954,3.2765688956715167e-05
case3,run_20260115_195403,1,poirot,0.003040141658857465,0.9939289689064026
case3,run_20260115_195403,2,poirot,0.02142600528895855,0.9576070308685303
case3,run_20260115_195403,3,poirot,0.005172883626073599,0.9896809458732605
case3,run_20260116_150617,1,holmes,0.0018508372595533729,0.9963017106056213
case3,run_20260116_150617,2,holmes,0.9887511134147644,0.00012653744488488883
case3,run_20260116_150617,3,holmes,0.0015108046354725957,0.9969806671142578
case3,run_20260116_150617,4,holmes,0.9646219611167908,0.0012516056885942817
case3,run_20260116_150617,1,marple,0.0020234801340848207,0.9959571957588196
case3,run_20260116_150617,2,marple,0.001654413528740406,0.9966939687728882
case3,run_20260116_150617,3,marple,0.0020624820608645678,0.9958792328834534
case3,run_20260116_150617,4,marple,0.0030558640137314796,0.9938976168632507
case3,run_20260116_150617,1,poirot,0.994840681552887,2.6618567062541842e-05
case3,run_20260116_150617,2,poirot,0.004565030336380005,0.9908908605575562
case3,run_20260116_150617,3,poirot,0.04180119186639786,0.918144941329956
case3,run_20260116_150617,4,poirot,0.9968423843383789,9.970536666514818e-06
case3,run_20260116_151430,1,holmes,0.004482822492718697,0.9910544753074646
case3,run_20260116_151430,2,holmes,0.2540820240974426,0.5563936233520508
case3,run_20260116_151430,3,holmes,0.9423999190330505,0.0033177693840116262
case3,run_20260116_151430,4,holmes,0.17117585241794586,0.6869494915008545
case3,run_20260116_151430,5,holmes,0.15383027493953705,0.7160031795501709
