case,run_id,turn,character,pos,neg,neu,compound
case2,run_20260115_191251,2,marple,0.058,0.122,0.82,-0.866
case2,run_20260115_191251,2,poirot,0.043,0.108,0.849,-0.879
case2,run_20260115_191251,3,holmes,0.1,0.093,0.806,-0.167
case2,run_20260115_191251,3,marple,0.066,0.084,0.85,-0.572
case2,run_20260115_191251,3,poirot,0.093,0.108,0.799,-0.442
case2,run_20260115_191251,4,holmes,0.082,0.077,0.842,-0.068
case2,run_20260115_191251,4,marple,0.06,0.125,0.815,-0.93
case2,run_20260115_191251,4,poirot,0.069,0.115,0.816,-0.869
case2,run_20260115_190940,1,holmes,0.06,0.208,0.732,-0.973
case2,run_20260115_190940,1,marple,0.071,0.152,0.777,-0.977
case2,run_20260115_190940,1,poirot,0.068,0.176,0.756,-0.969
case2,run_20260115_190940,2,holmes,0.085,0.101,0.814,-0.676
case2,run_20260115_190940,2,marple,0.072,0.128,0.8,-0.919
case2,run_20260115_190940,2,poirot,0.111,0.178,0.71,-0.904
case2,run_20260115_190940,3,holmes,0.076,0.177,0.747,-0.94
case2,run_20260115_190940,3,marple,0.079,0.118,0.803,-0.901
case2,run_20260115_190940,3,poirot,0.073,0.152,0.775,-0.967
case2,run_20260115_190823,1,holmes,0.125,0.142,0.733,-0.495
case2,run_20260115_190823,1,marple,0.142,0.167,0.69,-0.735
case2,run_20260115_190823,1,poirot,0.101,0.154,0.746,-0.931
case2,run_20260115_190823,2,holmes,0.052,0.135,0.813,-0.95
case2,run_20260115_190823,2,marple,0.062,0.132,0.805,-0.852
case2,run_20260115_190823,2,poirot,0.074,0.135,0.791,-0.913
case2,run_20260115_190823,3,holmes,0.034,0.171,0.795,-0.978
case2,run_20260115_190823,3,marple,0.078,0.129,0.793,-0.888
case2,run_20260115_190823,3,poirot,0.04,0.105,0.854,-0.92
case2,run_20260115_190823,4,holmes,0.043,0.137,0.82,-0.973
case2,run_20260115_190823,4,marple,0.061,0.13,0.81,-0.937
case2,run_20260115_190823,4,poirot,0.065,0.144,0.791,-0.972
case2,run_20260115_190823,5,holmes,0.048,0.16,0.792,-0.977
case2,run_20260115_190823,5,marple,0.042,0.147,0.811,-0.982
case2,run_20260115_190823,5,poirot,0.029,0.117,0.854,-0.977
case2,run_20260115_191951,1,holmes,0.087,0.145,0.768,-0.741
case2,run_20260115_191951,1,marple,0.075,0.104,0.822,-0.667
case2,run_20260115_191951,1,poirot,0.07,0.06,0.87,-0.002
case2,run_20260115_191951,2,holmes,0.04,0.103,0.857,-0.925
case2,run_20260115_191951,2,marple,0.075,0.121,0.804,-0.613
case2,run_20260115_191951,2,poirot,0.053,0.084,0.863,-0.44
case2,run_20260115_191951,3,holmes,0.054,0.133,0.813,-0.986
case2,run_20260115_191951,3,marple,0.071,0.141,0.788,-0.938
case2,run_20260115_191951,3,poirot,0.05,0.121,0.829,-0.981
case2,run_20260115_191951,4,holmes,0.064,0.114,0.822,-0.923
case2,run_20260115_191951,4,marple,0.085,0.119,0.796,-0.813
case2,run_20260115_191951,4,poirot,0.041,0.135,0.823,-0.989
case2,run_20260115_191951,5,holmes,0.055,0.173,0.773,-0.986
case2,run_20260115_191951,5,marple,0.018,0.195,0.787,-0.99
case2,run_20260115_191951,5,poirot,0.054,0.176,0.77,-0.989
case2,run_20260115_191756,1,holmes,0.048,0.104,0.849,-0.866
case2,run_20260115_191756,1,marple,0.14,0.194,0.666,-0.775
case2,run_20260115_191756,1,poirot,0.035,0.093,0.872,-0.846
case2,run_20260115_191756,2,holmes,0.043,0.065,0.892,-0.751
case2,run_20260115_191756,2,marple,0.101,0.154,0.746,-0.773
case2,run_20260115_191756,2,poirot,0.076,0.113,0.811,-0.827
case2,run_20260115_191756,3,holmes,0.058,0.08,0.862,-0.818
case2,run_20260115_191756,3,marple,0.075,0.142,0.783,-0.944
case2,run_20260115_191756,3,poirot,0.082,0.075,0.843,0.226
case2,run_20260115_191122,1,holmes,0.029,0.251,0.72,-0.99
case2,run_20260115_191122,1,marple,0.034,0.146,0.82,-0.922
case2,run_20260115_191122,1,poirot,0.06,0.124,0.816,-0.939
case2,run_20260115_191122,2,holmes,0.064,0.142,0.794,-0.953
case2,run_20260115_191122,2,marple,0.028,0.184,0.788,-0.976
case2,run_20260115_191122,2,poirot,0.046,0.188,0.765,-0.989
case2,run_20260115_192338,1,holmes,0.062,0.142,0.796,-0.902
case2,run_20260115_192338,1,marple,0.121,0.13,0.749,-0.573
case2,run_20260115_192338,1,poirot,0.077,0.132,0.791,-0.886
case2,run_20260115_192338,2,holmes,0.085,0.128,0.786,-0.893
case2,run_20260115_192338,2,marple,0.074,0.104,0.822,-0.718
case2,run_20260115_192338,2,poirot,0.084,0.137,0.779,-0.823
case2,run_20260115_192338,3,holmes,0.078,0.142,0.78,-0.952
case2,run_20260115_192338,3,marple,0.105,0.108,0.787,-0.527
case2,run_20260115_192338,3,poirot,0.048,0.088,0.863,-0.866
case2,run_20260115_192338,4,holmes,0.078,0.096,0.827,-0.774
case2,run_20260115_192338,4,marple,0.158,0.104,0.738,0.599
case2,run_20260115_192338,4,poirot,0.042,0.117,0.842,-0.961
case2,run_20260115_192338,5,holmes,0.112,0.122,0.766,-0.652
case2,run_20260115_192338,5,marple,0.098,0.122,0.78,-0.751
case2,run_20260115_192338,5,poirot,0.078,0.076,0.846,-0.363
case2,run_20260115_192338,6,holmes,0.068,0.068,0.864,-0.642
case2,run_20260115_192338,6,marple,0.088,0.087,0.825,-0.569
case2,run_20260115_192338,6,poirot,0.041,0.116,0.843,-0.961
case2,run_20260115_192338,7,holmes,0.08,0.074,0.846,-0.492
case2,run_20260115_192338,7,marple,0.138,0.135,0.727,-0.079
case2,run_20260115_192338,7,poirot,0.067,0.119,0.814,-0.963
case2,run_20260115_192338,8,holmes,0.042,0.088,0.87,-0.868
case2,run_20260115_192338,8,marple,0.075,0.144,0.781,-0.898
case2,run_20260115_192338,8,poirot,0.067,0.119,0.814,-0.963
case2,run_20260115_192338,9,holmes,0.082,0.101,0.816,-0.77
case2,run_20260115_192338,9,marple,0.034,0.153,0.812,-0.96
case2,run_20260115_192338,9,poirot,0.067,0.114,0.82,-0.921
case3,run_20260116_151430,1,holmes,0.071,0.113,0.817,-0.878
case3,run_20260116_151430,1,marple,0.144,0.044,0.811,0.902
case3,run_20260116_151430,1,poirot,0.066,0.082,0.851,-0.727
case3,run_20260116_151430,2,holmes,0.073,0.103,0.824,-0.701
case3,run_20260116_151430,2,marple,0.075,0.074,0.85,-0.226
case3,run_20260116_151430,2,poirot,0.086,0.07,0.843,0.223
case3,run_20260116_151430,3,holmes,0.06,0.135,0.805,-0.956
case3,run_20260116_151430,3,marple,0.073,0.041,0.887,0.397
case3,run_20260116_151430,3,poirot,0.12,0.045,0.836,0.952
case3,run_20260116_151430,4,holmes,0.107,0.086,0.807,0.352
case3,run_20260116_151430,4,marple,0.071,0.093,0.836,-0.766
case3,run_20260116_151430,4,poirot,0.107,0.119,0.775,-0.746
case3,run_20260116_151430,5,holmes,0.068,0.094,0.838,-0.848
case3,run_20260116_151430,5,marple,0.082,0.096,0.823,-0.718
case3,run_20260116_151430,5,poirot,0.072,0.11,0.818,-0.927
case3,run_20260116_151430,6,holmes,0.091,0.108,0.801,-0.734
case3,run_20260116_151430,6,marple,0.091,0.123,0.786,-0.857
case3,run_20260116_151430,6,poirot,0.071,0.061,0.868,-0.075
case3,run_20260116_151430,7,holmes,0.084,0.122,0.794,-0.928
case3,run_20260116_151430,7,marple,0.097,0.106,0.797,-0.584
case3,run_20260116_151430,7,poirot,0.089,0.124,0.787,-0.907
case3,run_20260115_195135,1,holmes,0.046,0.105,0.849,-0.85
case3,run_20260115_195135,1,marple,0.086,0.068,0.846,-0.502
case3,run_20260115_195135,1,poirot,0.064,0.094,0.843,-0.778
case3,run_20260115_195135,2,holmes,0.036,0.072,0.891,-0.735
case3,run_20260115_195135,2,marple,0.098,0.096,0.806,-0.346
case3,run_20260115_195135,2,poirot,0.072,0.093,0.835,-0.881
case3,run_20260115_195135,3,holmes,0.031,0.071,0.898,-0.828
case3,run_20260115_195135,3,marple,0.092,0.125,0.783,-0.751
case3,run_20260115_195135,3,poirot,0.058,0.108,0.835,-0.946
case3,run_20260115_195135,4,holmes,0.049,0.063,0.888,-0.705
case3,run_20260115_195135,4,marple,0.045,0.081,0.874,-0.898
case3,run_20260115_195135,4,poirot,0.056,0.115,0.83,-0.945
